id,Title,Company,Location,Type,Level,YearsExp,Country,Skills
3400,Business Development Executive (Software),iHorizons,Maadi,Full Time,Work From Home,3-5 Yrs of Exp,Cairo,Business Development- Sales Skills- Communication Skills- IT- English- Computer Science- Information Technology- Sales Target
3401,Senior Security Engineer,QuadraTech for Information Technology,Katameya,Full Time,Experienced,3-5 Yrs of Exp,Cairo,Information Security- Fortinet Security Solutions- CCNP Security- Information Technology (IT)- Computer Science- Computer Engineering
3402,CEO Personal Assistant,First Group,Mohandessin,Full Time,Experienced,4-5 Yrs of Exp,Giza,Computer Skills- Arabic- English- Business Administration- Administration- Operations/Management
3403,Technical Office Engineer,International Business Systems I.B.S.,New Capital,Full Time,Experienced,10-15 Yrs of Exp,Cairo,Technical Office- Construction- AutoCAD- Interior- Finishing- 3Dmax- Pricing- Engineering - Construction/Civil/Architecture
3404,Recruitment Specialist,E3mel Business for Financial & Managerial Consultancy,Maadi,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,Recruitment- Hiring- Communication- English- Microsoft Office- Personnel- Human Resources
3405,HR Section Head,MAC EGYPT REAL ESTATE CO.,10th of Ramadan City,Full Time,Manager,5+ Yrs of Exp,Cairo,Personnel- Communication Skills- HR- Recruitment- Human Resources
3406,Head of Sales - Real Estate,Havana Hills,6th of October,Full Time,Manager,10+ Yrs of Exp,Giza,Management- Sales Target- Sales Skills- Communication Skills- Market Research- Marketing Campaigns- Operations/Management- Sales/Retail
3407,Sales Admin,MG Developments,Nasr City,Full Time,Experienced,3+ Yrs of Exp,Cairo,Customer Care- MS Office- English- Communication Skills- Sales Administration- Real Estate- Administration
3408,Regional Sales Manager,Tiger Med For Medical Agencies,Cairo,Full Time,Part Time,2-15 Yrs of Exp,Egypt,2 Vacancies- Sales Target- Sales Skills- Business Development- Medical/Healthcare- Sales/Retail
3409,Partnership Associate,Paymob Solutions,Maadi,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,B2B Sales- Account Management- Sales Skills- Microsoft Office- PowerPoint- Outlook- Business Development- Marketing/PR/Advertising
3410,Graphic Designer,Geeks Valley,Cairo,Work From Home,Experienced,5-10 Yrs of Exp,Egypt,Adobe Photoshop- Adobe Illustrator- Adobe Indesign- Adobe After Effects- Fantasia- Creative/Design/Art
3411,.NET Angular Software Developer,Xceed,Maadi,Full Time,Experienced,5+ Yrs of Exp,Cairo,Software Development- Computer Science- Software Engineering- Agile- ASP.NET MVC- JSON- AJAX- XAML- RAzor
3412,Biomedical Sales Engineer - Medical Devices,Wadi El-Neel International for Importing & Trading,Nasr City,Full Time,Experienced,3+ Yrs of Exp,Cairo,Sales Traget- Biomedical Engineering- Sales Engineering- Medical Devices- Biomedical Engineer- Medical/Healthcare- Sales/Retail
3413,Senior Corporate Sales - Advertising Agency,Talent 360,New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,Business Development- Account Managment- Project Management- Marketing- Customer Service- Sales Skills- Sales Target- Negotiation
3414,Document Controller,Hyundai Rotem,Abbassia,Full Time,Entry Level,1-4 Yrs of Exp,Cairo,Writing- Mechanical Engineering- Electrical Engineering- System Analysis- Documentation- Editing- English- Document Controller
3415,Junior Financial Data Analyst,Z2 Data,Nasr City,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,Finance- Accounting- Financial Analysis- Financial Data- Financial Statements- Commerce- Accounting/Finance- Analyst/Research
3416,Chief Accountant,Bedaya Packing,New Cairo,Full Time,Manager,9-10 Yrs of Exp,Cairo,Financial Management- Financial Analysis- Accounting Software- Quick Books- Corporate- Accounting/Finance
3417,Senior Front End Developer - React,Trufla,Heliopolis,Full Time,Experienced,3+ Yrs of Exp,Cairo,Information Technology (IT)- Software Development- JavaScript- Ember.JS- React.JS- SQL- HTML- CSS- Ruby On Rails- SaaS
3418,IT Sales Specialist,Altayar recruitment,Riyadh,Full Time,Experienced,2+ Yrs of Exp,Saudi Arabia,Sales Skills- Sales Target- Customer Support- IT/Software Development- Sales/Retail- Engineering - Telecom/Technology
3419,Legal Specialist (Real Estate),Deyar Masr,New Cairo,Full Time,Experienced,3+ Yrs of Exp,Cairo,Legal- Contracts- Legal
3420,Admin Coordinator Real Estate,global building,New Cairo,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,Telesales- Customer Care- Customer Support- Customer Service- Information Technology (IT)- Administration- Customer Service/Support
3421,Technical Customer Service Manager,Dimofinf Operations Center,Nasr City,Full Time,Manager,7-10 Yrs of Exp,Cairo,Customer Care- Customer Support- Business Administration- Communication- Negotiation Skills- Education- Training- Management
3422,Social Media Specialist,Arabic Trader,Dokki,Full Time,Experienced,2+ Yrs of Exp,Giza,Market Research- Social Media- Marketing/PR/Advertising- Media/Journalism/Publishing
3423,Graphic Designer,Air Gate,Mohandessin,Full Time,Experienced,3-5 Yrs of Exp,Giza,Adobe Photoshop- Adobe Illustrator- English- Graphic Design- Microsoft Office- Creative/Design/Art- Marketing/PR/Advertising
3424,UC Senior Collaboration Engineer,Confidential,Cairo,Full Time,Experienced,5-8 Yrs of Exp,Egypt,Computer Science- Computer Engineering- Cisco- CCNP- Installation- Troubleshooting- Collaboration Engineer- UC
3425,Customer Service Team Leader,Dimofinf Operations Center,Nasr City,Full Time,Shift Based,4-5 Yrs of Exp,Cairo,Customer Service- Customer Support- Customer Care- Business Administration- Training- Education- Computer Skills- Management
3426,Admin Specialist- Alex,Al-Mansour,Alexandria,Full Time,Entry Level,1-4 Yrs of Exp,Egypt,Administration- Microsoft Office- Data Entry- English- Skills- Administration- Operations/Management
