id,Title,Company,Location,Type,Level,YearsExp,Country,Skills
397,Branch Manager(Monufya),B.Tech,Quweisna,Full Time,Manager,7-9 Yrs of Exp,Monufya,Communication Skills- Branch Manager- Management- Sales Target- Retail- Sales/Retail
398,System Admin,Premier Services and Recruitment Overseas,Maadi,Full Time,Experienced,2+ Yrs of Exp,Cairo,Information Technology (IT)- MCSA- Computer Science- MCSE- IT/Software Development- Engineering - Telecom/Technology
399,Accounts Receivable,Advansys for Trading & Contracting,Maadi,Full Time,Entry Level,1-5 Yrs of Exp,Cairo,Finance- Accounts Receivable- Financial Analysis- AR- English- AR Accountant- Problem Solving- Communication Skills- Accounting
400,Sales Consultant,Immigration Gates,Sheikh Zayed,Full Time,Experienced,2-4 Yrs of Exp,Giza,Sales Skills- Sales Target- Real Estate- Immigration- Sales/Retail
401,Call Center Supervisor (Voice-Non Voice),Confidential,Maadi,Full Time,Manager,1-3 Yrs of Exp,Cairo,Customer Care- Customer Support- Communication Skills- Computer Skills- Microsoft Office- Microsoft Excel- Operations
402,Financial Accountant,Tawzef,Cairo,Full Time,Experienced,5-7 Yrs of Exp,Egypt,Finance- Financial Accountant- Financial Analysis- Financial Management- Taxes- Accounting/Finance
403,Art Director,Ebers,Alexandria,Full Time,Manager,5+ Yrs of Exp,Egypt,Maya- Graphic Design- Adobe Illustrator- Marketing- Art Direction- Healthcare- Science- Creative/Design/Art- Marketing/PR/Advertising
404,Sales Engineer - Cairo,MWS,Cairo,Full Time,Experienced,3+ Yrs of Exp,Egypt,Sales Target- Mechanical Engineering- Electrical Engineering- English- Pumps- Sales/Retail- Engineering - Mechanical/Electrical
405,Massive Hiring Recruitment Leader,UX Centers,Abu Rawash,Full Time,Manager,3+ Yrs of Exp,Giza,Recruitment- Massive Hiring- Call Center- Offshore- Human Resources
406,Personnel Coordinator,NMDC,Cairo,Full Time,Experienced,3-5 Yrs of Exp,Egypt,Personnel- Government Units Relations- Recruitment Agencies- Human Resources
407,Telesales Agent,Talent 360,Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,Telesales- Communication Skills- Sales Skills- Customer Service/Support- Sales/Retail
408,CEO Assistant,Prime International School,New Cairo,Full Time,Experienced,1-5 Yrs of Exp,Cairo,Administration- Secretary- Administration
409,Sales Promoter - Tanta,Stylish Eve,Tanta,Full Time,Entry Level,1-3 Yrs of Exp,Gharbia,Sales Skills- Sales Target- Indoor Sales- Customer Support- English- Customer Service/Support- Sales/Retail
410,Secretary & Business Coordinator,Al Safa,Nasr City,Full Time,Experienced,5-10 Yrs of Exp,Cairo,Office Management- Administration- Microsoft Office- Administration
411,Students Affairs Officer,Prime International School,New Cairo,Full Time,Experienced,3+ Yrs of Exp,Cairo,Females Only- Education- Schools- Students Affairs- Administration- English- Administration- Education/Teaching
412,Sales Promoter - City Stars,Stylish Eve,Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,Sales Skills- Sales Target- Indoor Sales- Customer Support- Retail- English- Customer Service/Support- Sales/Retail
413,Sales Promoter - 6th of October City,Stylish Eve,6th of October,Full Time,Entry Level,1-3 Yrs of Exp,Giza,Sales Skills- Sales Target- Indoor Sales- Customer Support- English- Customer Service/Support- Sales/Retail
414,Sales Specialist- Real Estate,Building Masters,6th of October,Full Time,Entry Level,1+ Yrs of Exp,Giza,Sales Target- Real Estate Sales- Customer Care- Customer Support- Customer Service- Sales/Retail
415,Performance Manager,360Imaging,Dokki,Full Time,Work From Home,5-10 Yrs of Exp,Giza,Performance Management- Microsoft Office- Communication Skills- Negotiation Skills- Business- Human Resources (HR)- English- Dental
416,Sales Promoter - Alexandria,Stylish Eve,Alexandria,Full Time,Experienced,2+ Yrs of Exp,Egypt,Sales Skills- Sales Target- Customer Support- English- Customer Service/Support- Sales/Retail
417,SAP ABAP Consultant,Dar Al-Fouad Hospital,6th of October,Full Time,Experienced,3-5 Yrs of Exp,Giza,OSS- SLCM- Information Technology (IT)- IDOC- ABAP HANA- XL- PY- OM- PA- TM- Computer Science- Telecom Engineering- ERP- SQL
418,Accountant,Dreevo app,Maadi,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,Finance- Financial Reports- Financial Management- Financial Analysis- Financial Statements- Bookkeeping- Record-Keeping
419,Mechanical Engineer,EL SHIDEED,Obour City,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,Maintenance- Engineering - Mechanical/Electrical
420,HR Manager,Zaki Automotive Group,Shubra,Full Time,Manager,2-5 Yrs of Exp,Cairo,Human Resources (HR)- English- Recruitment- Personnel- Microsoft Office- Labor Law- Communication Skills- HR Systems- HR
421,Production Manager,Confidential,6th of October,Full Time,Manager,10-16 Yrs of Exp,Giza,Planning- Pharmacy- Veterinary- Production Manager- Engineering- English- Pharmaceutical- Agriculture Engineer- Pharmaceutical
422,Social Media & Marketing Specialist,Beit Network For Real Estate,New Cairo,Full Time,Experienced,2-4 Yrs of Exp,Cairo,E-marketing- Content- Marketing/PR/Advertising- Media/Journalism/Publishing
423,Accountant - Alexandria,MENA For Contracting & Trading,Alexandria,Full Time,Experienced,3-5 Yrs of Exp,Egypt,Finance- Real Estate- Construction- English- Microsoft Office- Financial Analysis- Financial Management- Excel
424,HR Payroll Specialist,Marbella For Food Industry,6th of October,Full Time,Experienced,3-5 Yrs of Exp,Giza,Payroll- Communication- Human Resources (HR)- Personnel- Team Management- ERP- Salary Adjustments- Human Resources
425,Advertising Account Manager,ODDS ADVERTISING,Dokki,Full Time,Experienced,5-7 Yrs of Exp,Giza,Account Manager- Agency- BTL- ATL- Creative- brief- presentations- TTL- Digital marketing- Sales Skills- Sales/Retail
426,Employees Engagement Specialist,Al-Madina,Cairo,Full Time,Experienced,2-4 Yrs of Exp,Egypt,Employee Engagement- Employee Relations- Human Resources (HR)- Performance Management- Personnel- Human Resources
427,SEO Specialist,Your Parts,Cairo,Full Time,Experienced,2-3 Yrs of Exp,Egypt,Social Media- Digital Marketing- Online Marketing- Google Adwords- Marketing/PR/Advertising- Media/Journalism/Publishing
428,Admin Assistant,IFT Corporation,Mokattam,Full Time,Entry Level,1-4 Yrs of Exp,Cairo,Secretary- Business Administration- Commerce- English- Administration
429,Brand Manager,360Imaging,Dokki,Full Time,Work From Home,10+ Yrs of Exp,Giza,SEO- E-marketing- Public Relations (PR)- Social Media- Google Analytics- Digital Marketing- Brand Research- Operations- Branding
430,Inventory Controller,Mintra - Misr for Industry and Trade,Nasr City,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,Finance- Logistics- Inventory Control- Business Administration- Financial Analysis- Microsoft Office- Excel User- Supply Chain
431,Senior Business Development Specialist,Cultark,Heliopolis,Full Time,Experienced,3-5 Yrs of Exp,Cairo,Sales Skills- Sales Target- Marketing- Management- Partnerships- Digital- Deals- Industry- Performance- Sales/Retail
432,Document Controller - Toshka,Daltex,Aswan,Full Time,Entry Level,1+ Yrs of Exp,Egypt,Document Control- Microsoft Office- Administration- Computer Skills- Microsoft Excel- EDMS- Project Management- MS Office- Documents
433,Production Planning Engineer,Mintra - Misr for Industry and Trade,Nasr City,Full Time,Experienced,3-5 Yrs of Exp,Cairo,MRP- Manufacturing Resource Planning- inventory- Microsoft Office- Logistics- Engineering- Manufacturing/Production
434,Financial Accountant,Talaat Moustafa Group,Dokki,Full Time,Experienced,4-6 Yrs of Exp,Giza,Financial Analysis- Finance- Accounting- ERP Systems- Accounting/Finance
435,Financial Manager,General Star Business Development Co.-(Egypt),New Cairo,Full Time,Manager,5-10 Yrs of Exp,Cairo,Audit- Finance- Financial Analysis- Financial Management- Budgeting- Costing- Financial Planning- Accounting/Finance
436,Business Development Executive,IBE Pharma,Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,Sales Skills- Negotiation- Presentation- Planning- Communication- Sales Target- Inbound Marketing- Outbound Marketing
437,Medical Provider Network Pharmacist,Confidential,New Cairo,Full Time,Experienced,3+ Yrs of Exp,Cairo,Pharmacy- Customer Care- Public Relations (PR)- Business Development- Network Administration- Insurance- Microsoft Office- Medicine
438,HC & Admin Director,Bingo Global,Sheraton,Full Time,Senior Management,10-15 Yrs of Exp,Cairo,Legal- HR- Administration- Labor Law- Administration- Human Resources- Legal
439,Contracts Coordinator,Hyundai Rotem,Maadi,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,PMP- Engineering- English- File Management- Contracting- Contract Management- Legal- Customer Support- Business- CRM- client
440,Social Media Specialist,The Modern Vision Of Advertising,New Cairo,Full Time,Experienced,2+ Yrs of Exp,Cairo,E-marketing- Facebook- SEO- Communication Skills- Twitter- Instagram- Marketing/PR/Advertising- Media/Journalism/Publishing
441,Social Media Specialist,The Modern Vision Of Advertising,New Cairo,Full Time,Experienced,2+ Yrs of Exp,Cairo,E-marketing- Facebook- SEO- Communication Skills- Twitter- Instagram- Marketing/PR/Advertising- Media/Journalism/Publishing
442,Sales Representative,Confidential,Maadi,Full Time,Entry Level,0-5 Yrs of Exp,Cairo,Sales Target- Business- Communications- Customer Service- Marketing- SaaS- Sales/Retail
443,Software Quality Control Team Leader,BI-Technologies,Katameya,Full Time,Manager,8-12 Yrs of Exp,Cairo,Computer Science- SQL- Software- Management- Writing- Testing- Quality Assurance- QC Lead- Computer Engineering- Telecom- IT
444,Personal Assistant To CEO ( French & English ),Horus International for Research & Development,Obour City,Full Time,Experienced,3-5 Yrs of Exp,Cairo,Office Management- Secretary- Microsoft Office- English- French- Admin Assistant- Administration
445,IT Microsoft System Administrator,Ejada (Cairo),Cairo,Shift Based,Experienced,2-5 Yrs of Exp,Egypt,System Administration- Computer Engineering- Information Technology (IT)- SCCM- WSUS- SharePoint- SCOM- DHCP
446,Operations Specialist -Cairo,INTERLOG,Nasr City,Full Time,Shift Based,1-3 Yrs of Exp,Cairo,2 Vacancies- Operations- Customer Service- Logistics- Microsoft Office- Customer Service/Support- Logistics/Supply Chain
447,Student Training in Engineering Program- STEP...,Google,Cairo,Internship,Student,null Yrs of Exp,Egypt,google- STEP- student- internship- technology- engineering- software- 2021- programming- IT/Software Development
448,Senior .NET Full Stack Developer,Confidential,6th of October,Full Time,Experienced,5-10 Yrs of Exp,Giza,ASP.NET- Angular- MVC- Software Development- Information Technology (IT)- Computer Science- javaScript- HTML- CSS- SQL- jQuery
449,Bancassurance Sales Coordinator,QNB ALAHLI Life Insurance,Mohandessin,Full Time,Experienced,2+ Yrs of Exp,Giza,Sales Skills- Sales Indoor- Sales Outdoor- Insurance- Financial- Bancassurance Sales- Sales/Retail
450,Business Manager,Fawry Microfinance,Cairo,Full Time,Manager,6+ Yrs of Exp,Egypt,Microsoft Word- Microsoft PowerPoint- Microsoft Excel- Microsoft Office- Computer Skills- Banking- Business Analysis- Risk Management
451,Design Engineer,MCV,Obour City,Full Time,Entry Level,1-5 Yrs of Exp,Cairo,Mechanical Engineering- Production Engineering- English- Computer Skills- Microsoft Office- Design- Microsoft Word- Microsoft Outlook
452,Technical Lead / Architect,Keys Group Services,Maadi,Full Time,Manager,10+ Yrs of Exp,Cairo,Software Engineering- .NET- Cloud- Computer Science- Technical Lead- Architect- software development
453,Quality Assurance Specialist (Call Center),Nile Projects & Trading,Alexandria,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,English- Quality Assurance- Customer Service/Support- Quality
454,Senior ETL Developer,Ejada (Cairo),Cairo,Full Time,Experienced,4+ Yrs of Exp,Egypt,IBM InfoSphere DataStage- Information Technology (IT)- Engineering- Data Warehousing- OLAP- Design- JDBC- DB2 DBMS
455,Plant Oil Refining Engineer,Confidential,Alexandria,Full Time,Experienced,5+ Yrs of Exp,Egypt,Engineering- Chemical- GC- H2S- Science- Agriculture- Oil Refining- Manufacturing/Production- Quality- Engineering - Other
456,Business Development Representative - US Account...,Flairstech,Maadi,Full Time,Experienced,2-7 Yrs of Exp,Cairo,Business Development- CRM- Lead Generation- Sales Skills- English- Networking- Social Media- Sales Target- Salesforce- Software
457,Senior Business Intelligence Developer,Ejada (Cairo),Cairo,Full Time,Experienced,4+ Yrs of Exp,Egypt,Computer Science- Computer Engineering- Information Technology (IT)- Software Engineering- Business Intelligence- BI- Business Analysis
458,Project Engineer- Hurghada,Somabay,Hurghada,Full Time,Experienced,4-6 Yrs of Exp,Red Sea,Architectural Engineering- Residential Projects- AutoCAD- Project Management- Primavera- Engineering - Construction/Civil/Architecture
459,E-Commerce Store Manager,Expand Cart,Cairo,Full Time,Manager,2-5 Yrs of Exp,Egypt,Customer Service- Customer Support- E-Commerce- Operations- Inventory Management- Supply Chain- Logistics- Shipping
460,Senior SEO Specialist,Expand Cart,6th of October,Full Time,Experienced,3+ Yrs of Exp,Giza,SEO- E-commerce- ROI- Market Research- E-marketing- Search Engine Optimization- Social Media- Google Adwords- Website Analysis
461,Compensation & Benefits Specialist.,Andalusia Group,Maadi,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,Compensation and Benefits- Human Resources (HR)- Human Resources
462,Client Director,CrossWorkers,New Cairo,Full Time,Experienced,5+ Yrs of Exp,Cairo,Customer Care- Customer Support- Sales Skills- Communication Skills- Computer Skills- Operations- Office Management- Software Sales
463,Secretary / Office Manager,Keep In Touch Advertising Company,Heliopolis,Full Time,Experienced,3+ Yrs of Exp,Cairo,Secretary- Social Media- English- Administration- Administration
464,Advertising Account Executive,Keep In Touch Advertising Company,Heliopolis,Full Time,Experienced,2+ Yrs of Exp,Cairo,Account Management- Sales Skills- Business Deveopement- Sales Target- English- Business Development- Sales/Retail
465,Marketing Executive,Keep In Touch Advertising Company,Heliopolis,Full Time,Experienced,2+ Yrs of Exp,Cairo,E-marketing- Social Media- Advertising- English- Market Research- Marketing/PR/Advertising- Media/Journalism/Publishing
466,Business Analyst / Product Owner,RMG,Riyadh,Part Time,Experienced,5+ Yrs of Exp,Saudi Arabia,BRD- SRS- Agile- Information Technology (IT)- Project Management- IT/Software Development- Engineering - Telecom/Technology
467,Accountant,Mindset,Sheraton,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,Accounting- Financial Management- Tax Management- Tax Filing- English- Accounting/Finance
468,Customer Service Representative,DR Mahmoud Elhelally Clinic,Cairo,Full Time,Experienced,3+ Yrs of Exp,Egypt,Customer Support- Customer Care- Computer Skills- Customer Service/Support
469,Technical Support Agent,Confidential,Nasr City,Full Time,Experienced,3-5 Yrs of Exp,Cairo,Technical Support- Customer Service- Customer Care- IT- Customer Service/Support
470,Oracle Database Administrator,Confidential,Nasr City,Freelance / Project,Experienced,3+ Yrs of Exp,Cairo,Configure- Linux- Information Technology (IT)- ASM- Computer Science- Engineering- Database- Troubleshooting
471,Senior NIX System Engineer,Link Datacenter,Dokki,Full Time,Experienced,3-5 Yrs of Exp,Giza,Information Technology (IT)- Computer Science- Installation- Maintenance- Solaris- CentOS- RedHat- NGINX- WHMCS
472,Senior Cloud Engineer,Link Datacenter,Maadi,Full Time,Experienced,2-4 Yrs of Exp,Cairo,Computer Science- Computer Engineeirng- Cloud Engineering- Software Development- Software Engineering- SaaS- PaaS
473,Junior Operations Engineer,Link Datacenter,Dokki,Full Time,Entry Level,1-3 Yrs of Exp,Giza,Operations Engineering- Information Technology (IT)- Computer Science- Installation- Maintenance- Repair- MySQL- Linux- UNIX
474,Real Estate Sales Specialist,Concrete For Real Estate,6th of October,Full Time,Experienced,2-5 Yrs of Exp,Giza,Sales Skills- Sales Target- Communication Skills- English- Advertising- Insurance- Media- Real Estate- Sales/Retail
475,Real Estate Sales Agent - Female only,Concrete For Real Estate,6th of October,Full Time,Experienced,2-4 Yrs of Exp,Giza,Females Only- Customer Service- Real Estate- Sales Target- Sales Skills- English- Sales/Retail
476,Senior Administration Officer,Cairo Three A Poultry,New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,Communication Skills- Business Administration- Management- Microsoft Office- English- MS Office- Logistics- Supply Chain- Planning
477,Senior Accountant,Nejmo,Maadi,Full Time,Experienced,5-7 Yrs of Exp,Cairo,Finance- Commerce- MS Excel- ERP- Accounting/Finance
478,Graphic Designer,Azza Fahmy Jewellery,Zamalek,Full Time,Experienced,2-5 Yrs of Exp,Cairo,Fine Arts- Graphic Designing- Adobe Photoshop- InDesign- Creative/Design/Art- Marketing/PR/Advertising
479,Graphic Designer,Confidential,Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,Creative- Graphic Design- Adobe Photoshop- Adobe Illustrator- InDesign- DreamWeaver- Creative/Design/Art
480,Sales Manager,Wattan Pack Company,Cairo,Full Time,Manager,10+ Yrs of Exp,Egypt,Communication- Negotiation Skills- Manufacturing- Customer Service- Sales Skills- Education- Selling- Industry- Sales/Retail
481,Manufacturing Lab Technician,Greater Cairo Foundries Co. S.A.E,Belbes,Full Time,Experienced,5-10 Yrs of Exp,Sharqia,ISO9001- ISO 17025- Manufacturing- Quality Control- ASTM E8- ASTM E10- Manufacturing/Production
482,Content Creator,Al-Nasser,Dokki,Full Time,Experienced,2-3 Yrs of Exp,Giza,Social Media- Writing- E-Commerce- Editing- Content Creator- Copywriter- Arabic- CTA- Branding- Writing/Editorial
483,Youth Welfare Coordinator,GUC,New Cairo,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,Student activities- Social Media- Secretary- English- · Administration
484,Digital Marketing Manager,GCCS Ads,New Cairo,Full Time,Manager,7-10 Yrs of Exp,Cairo,Social Media- Campaigns- Communication Skills- Project Management- Content- E-Commerce- Operations/Management
485,Personal Assistant/Office Manager,Azza Fahmy Jewellery,Zamalek,Full Time,Experienced,8-10 Yrs of Exp,Cairo,Administration- Office Management- Secretary- Receptionist- Microsoft Office- Administration
486,Client Relations Manager,Confidential,Zamalek,Full Time,Manager,2-6 Yrs of Exp,Cairo,Females Only- CRM- Business Administration- Marketing- Sales Target- Sales Skills- Microsoft Office- Computer Skills- Metal Markets
487,IT Specialist - Intern,Azza Fahmy Jewellery,Zamalek,Internship,Entry Level,null Yrs of Exp,Cairo,Computer Science- Installation- Maintenance- IT/Software Development
488,Technical Lead,Desklab,New Nozha,Full Time,Manager,8-12 Yrs of Exp,Cairo,Computer Science- Computer Engineering- Angular- Agile- MVC- Architecture- Core- Information Technology (IT)- Security- Testing
489,UI UX Designer,apps square,Tanta,Full Time,Entry Level,1-2 Yrs of Exp,Gharbia,UI- UX- Computer Science- Design- Android- iOS- Web- Communication Skills- Adobe Creative Suite
490,Customer Service Representative,Target Recruitment & HR Solutions,Cairo,Full Time,Entry Level,0-1 Yrs of Exp,Egypt,Customer Support- Customer Service- Business- Communication- English- Customer Care- Customer Service/Support
491,Senior Accountant,Zahranco Engineering Trade,Nasr City,Full Time,Experienced,5+ Yrs of Exp,Cairo,Accounting- Financial Analysis- Financial Management- Microsoft Office- Tax- Excel- GAAP- ERP System- Commerce- Accounting/Finance
492,Documentation Inspector,Egypt Otsuka,10th of Ramadan City,Full Time,Entry Level,0-1 Yrs of Exp,Sharqia,English- Computer Skills- SOP- MOH- Science- Pharmacy- Pharmaceutical- Internal Audit- QA- QC- Quality Control- Quality
493,Business Development Specialist / Sales Account...,YDS yasar digital services,Sheikh Zayed,Full Time,Experienced,3+ Yrs of Exp,Giza,Business Development- Sales Skills- Sales Target- Outdoor Sales- CRM- ERP- Business Development- Sales/Retail
494,Senior Human Resources Executive.,Al Futtaim,New Cairo,Full Time,Experienced,5-10 Yrs of Exp,Cairo,Payroll- SAP- Microsoft Office- Labor Law- HR- Human Resources
495,Design Manager,EGEC,Giza,Full Time,Manager,15-20 Yrs of Exp,Egypt,Project Management- PMP- Civil Engineering- Leadership- Wet Utilities- Engineering - Construction/Civil/Architecture
496,مندوب تحصيل - Collector,BituNil,Heliopolis,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,Finance- Commerce- Accounting- Customer Care- Customer Support- Customer Service- Accounting/Finance
497,Software Sales Account Manager - Internship,AFKAR Technology,New Cairo,Internship,Entry Level,null Yrs of Exp,Cairo,Sales Target- Communication Skills- English- Sales Skills- Computer Science- SWE- IT/Software Development- Sales/Retail
498,Senior HR Generalist,Colorama Coatings,Obour City,Full Time,Experienced,5-8 Yrs of Exp,Cairo,Performance Management- Personnel- Recruitment- Microsoft Office- Human Resources
499,Warehouse Manager,Confidential,Heliopolis,Full Time,Manager,8-10 Yrs of Exp,Cairo,Warehousing- ERP- Microsoft Office- Logistics- Supply Chain- Construction- Logistics/Supply Chain
500,Technical Office Engineer,MT Constructions,New Cairo,Full Time,Experienced,5-8 Yrs of Exp,Cairo,AutoCAD- Microsoft Office- Design- English- Quantity Survey- Mechanical Engineering- Technical Drawings
501,Senior Telesales Executive,The Modern Vision Of Advertising,New Cairo,Full Time,Experienced,2-5 Yrs of Exp,Cairo,Customer Service- Sales Skills- Marketing- Microsoft Office- Communication Skills- Telesales- Corporate Sales- Customer Care- CRM
502,Quality Assurance Engineer,Greater Cairo Foundries Co. S.A.E,Belbes,Full Time,Experienced,2-3 Yrs of Exp,Sharqia,Quality Control- Engineering- QA- Testing- Computer Science- Agile- Scrum- SQL- ISO- IT/Software Development- Quality
503,Senior Accountant,INMA Developments,New Cairo,Full Time,Experienced,4+ Yrs of Exp,Cairo,Accounting- Financial Management- Financial Analysis- GL- Accounts Payable- AP- ERP- Construction- English- Commerce- Real Estate
504,IT Infrastructure Specialist,IGI-Group,Giza,Full Time,Experienced,2-4 Yrs of Exp,Egypt,Infrastructure- Computer Science- Installation- Troubleshooting- Windows- Cloud- Installation/Maintenance/Repair
505,E-Commerce Account Manager,Fawry Banking & Payment Technology Services,6th of October,Full Time,Experienced,3-5 Yrs of Exp,Giza,Sales Target- Account Management- English- Customer Service- Retail- Business Administration- E-Commerce- E-marketing- Banking
506,Business Development Specialist,TIARA Ventures,Nasr City,Full Time,Experienced,2-6 Yrs of Exp,Cairo,Females Preferred- Business Development- Account Management- Negotiation- Sales Skills- Advertising- Marketing- English- Sales Target
507,Technical Office Engineer Architecture,Utilco for Engineering- Contracting & Supplies,Aswan,Full Time,Experienced,2-4 Yrs of Exp,Egypt,Engineering- Infrastracture- Technical Office- Sewage Networks- Sewer Cad- Construction- Shop Drawings- AutoCAD- English
508,HR Director,Confidential,6th of October,Full Time,Senior Management,10-20 Yrs of Exp,Giza,Recruitment- Labor Law- HR- Microsoft Office- Business Administration- Leadership- HRIS- SHRM-CP- Management
509,Service Manager,Quantum Automatic Systems,Heliopolis,Full Time,Manager,10+ Yrs of Exp,Cairo,Engineering- Customer Care- Customer Support- English- Communication- Management- ERP- Computer Skills- Customer Service/Support
510,Management Software System Administrator,THE PLATFORM,Farafra,Full Time,Experienced,5-10 Yrs of Exp,New Valley,IT- Odoo- ERP System- IT Administration- Software Engineering- Food Supply Chain- Agriculture- Computer Science
511,Tender Specialist,Sukari Gold Mines,Hurghada,Full Time,Experienced,3-5 Yrs of Exp,Red Sea,Supply Chain- Procurement- Contract Specialist- Tendring- Tendering- Engineering- English- Legal- Logistics/Supply Chain
512,Senior Back End Developer,Confidential,Cairo,Full Time,Work From Home,3-6 Yrs of Exp,Egypt,2 Vacancies- Computer Science- Software Development- Information Technology (IT)- PHP- Programming- javaScript- CSS- HTML
513,IT Help Desk Specialist,ADK Egyptian-German Cultural Centre,Heliopolis,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,Information Technology (IT)- Technician- IT Help Desk- Technical- IT- Computer Science- English- Arabic- IT/Software Development
514,Magento Developer,Comfort Egypt,Nasr City,Freelance / Project,Experienced,3-5 Yrs of Exp,Cairo,Communication- XML- English- Software Development- Information Technology (IT)- Software Engineering- javaScript
515,Magento Development Consultant,Comfort Egypt,Nasr City,Freelance / Project,Manager,10-10 Yrs of Exp,Cairo,Communication- XML- English- Software Development- Information Technology (IT)- Software Engineering- javaScript- HTML
516,Arabic Content Writer,Visit Ventures,Nozha,Internship,Entry Level,0-1 Yrs of Exp,Cairo,Marketing- Social Media- SEO- Bloggers- Vloggers- Content Writing- Arabic Content- Creative/Design/Art- Writing/Editorial
517,Project Manager,LxT,Mohandessin,Full Time,Manager,5+ Yrs of Exp,Giza,Project Manager- SQL- Project/Program Management
518,Senior SEO Specialist,Onecard,Nasr City,Full Time,Experienced,3+ Yrs of Exp,Cairo,Digital Marketing- E-marketing- SEO Content- Writing Skills- Writing/Editorial- Marketing/PR/Advertising- Media/Journalism/Publishing
519,Senior Property Consultant,property today egypt,New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,Real Estate- Sales Target- Sales Skills- English- Sales/Retail
520,Senior Business Developer,Infinity Business Solutions,Heliopolis,Full Time,Experienced,3-6 Yrs of Exp,Cairo,Sales Skills- Sales Target- Electrical Power Engineering- Marketing- Market Research- Business Development
521,IT Specialist,El Mansour Development,Mokattam,Full Time,Experienced,3+ Yrs of Exp,Cairo,Information Technology (IT)- Computer Science- DNS- Installation- Security- OS- Active Directory- Maintenance- Computer Engineering
522,Document Controller,THE Architects- Planners & Civil Engineers Consultancy Firm,Mohandessin,Full Time,Experienced,5-10 Yrs of Exp,Giza,Document Controller- English- Document Management- Administration
523,Marketing Executive,Unicity,New Cairo,Full Time,Experienced,3+ Yrs of Exp,Cairo,Market Research- Real Estate- Social Media- English- Digital Marketing- E-marketing- Marketing/PR/Advertising
524,Frontend Web Developer,Art dimension,Dokki,Full Time,Experienced,3+ Yrs of Exp,Giza,Software Development- HTML5- javaScript- Computer Science- Information Technology (IT)- jQuery- AJAX- SASS- CSS3- AngularJS
525,Sales Manager - Real Estate,Unicity,New Cairo,Full Time,Manager,7+ Yrs of Exp,Cairo,Sales Target- Sales Skills- Communication- Brokerage- Customer Service- English- Real Estate Sales- Property Consultant- Sales/Retail
526,Sales Supervisor,New Ega Electrical Industries,Downtown,Full Time,Manager,2-4 Yrs of Exp,Cairo,Adequate Guaranty- Sales Skills- Sales/Retail
527,Senior Security Specialist,700 apps,Mohandessin,Full Time,Experienced,8+ Yrs of Exp,Giza,Information Technology (IT)- Security Management- Ethical Hacker- Web Application Penetration Tester- Computer Science- Computer Engineering
528,Admin Assistant,New Ega Electrical Industries,Downtown,Full Time,Experienced,2-4 Yrs of Exp,Cairo,Office Management- Secretary- Microsoft Office- English- Administration
529,Senior iOS Mobile Developer,infasme.com,Heliopolis,Full Time,Experienced,5-6 Yrs of Exp,Cairo,Information Technology (IT)- Software Development- iOS- UI- React- Design- Angular- Leadership- Travel
530,Experienced SharePoint Developer,infasme.com,Heliopolis,Full Time,Experienced,6-8 Yrs of Exp,Cairo,SharePoint- PowerShell- Microsoft Dynamics CRM- Software Development- Nintex Workflow- IT/Software Development- Engineering - Telecom/Technology
531,Telesales Service Advisor,Alternative Education,Heliopolis,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,Telesales- Indoor Sales- Phone Sales- Telemarketing- Sales Skills- Call Center- Customer Service- Customer Care- Customer Support
532,Digital Marketing Specialist,SMART 3DP,Sheikh Zayed,Full Time,Experienced,2+ Yrs of Exp,Giza,Social Media- E-marketing- Digital Marketing- Campaigns- Creative/Design/Art- Marketing/PR/Advertising- Media/Journalism/Publishing
533,Full Stack .Net Team Leader,infasme.com,Cairo,Full Time,Experienced,4-6 Yrs of Exp,Egypt,Computer Science- Software Development- .NET- MVC- C#- Azure- Design- AWS- SQL Server- IT/Software Development
534,Medical Sales Representative,SMART 3DP,Sheikh Zayed,Full Time,Experienced,2-5 Yrs of Exp,Giza,Medical Sales Representative- Dental- Sales Skills- Medical/Healthcare- Sales/Retail- Pharmaceutical
535,Sales Admin,Target For Property,Maadi,Full Time,Experienced,2-7 Yrs of Exp,Cairo,Administration- Sales Skills- MS Office- Communication- Excel- Resale- Cold Calls- Brokerage Real Estate- Administration
536,HR Manager,arkandev,New Cairo,Full Time,Manager,7+ Yrs of Exp,Cairo,HR- Human Resources (HR)- Microsoft Office- Personnel- Performance Management- Business Administration- English- Labor Relations
